MV Material Name,AusGeochem Material Name
Muscovite Biotite Quartz Schist,Schist
Clinochlore Muscovite Feldspar Quartz Gneiss,Gneiss
Clinochlore Titanite Quartz Gneiss,Gneiss
Quartz-Gahnite-Spessartine rock,Rock of restricted mineralogy
Biotite Amphibole Feldspar Gneiss,Gneiss
Garnet Diopside Skarn,Skarn
Uranium Ore,Ore
Wollastonite Skarn,Skarn
Quartz porphyry dike,Porphyry
Garnetized Leucogranite,Granite
Biotite Garnet Gneiss,Gneiss
Andesite Dyke,Andesite
Feldspar Quartz Muscovite Biotite Gneiss,Gneiss
Siliceous Rock,Rock of restricted mineralogy
Topaz Quartz Gneiss,Gneiss
Fluorite-Garnet-Lead ore,Ore
Meta-Gabbro,Gabbro
Bituminous Shale,Shale
Wollastonite Calcite Skarn,Skarn
Biotite Garnet Schist,Schist
Biotite Muscovite Feldspar Quartz Gneiss,Gneiss
Biotite Quartz Schist,Schist
Diopside-Phlogophite-Leucite Lamproite,Lamproite
Biotite Garnet Kyanite Gneiss,Gneiss
Brucite Calciphyre,Calciphyre
Hedenbergite Garnet Skarn,Skarn
Basalt Scoria,Basalt
Shatter Cones,Impactite
Hematite Quartz Breccia,Breccia
Garnet Quartz Pegmatite,Pegmatite
Gahnite Chloritoid Schist,Schist
"Garnet, Biotite, Pyroxene Granulite",Granulite
Clinochlore Talc Schist,Schist
Lead carbonate ore,Ore
Biotite Quartz Feldspar Schist,Schist
Feldspar Quartz Amphibole Biotite Gneiss,Gneiss
Lepidolite Elbaite Pegmatite,Pegmatite
Axinite Limestone Skarn,Skarn
Garnet Hornfels,Hornfels
Calcite Biotite Schist,Schist
Siliceous Breccia,Breccia
Eudialyte Arfvedsonite Mosandrite Feldspar Pegmatite,Pegmatite
Diopside-Phlogopite-Pargasite-Dravite Calciphyre,Calciphyre
Olivine-Diopside-Richterite Lamproite,Lamproite
Amphibole Feldspar Schist,Schist
Quartz Diopside Hornfels,Hornfels
Tourmaline Muscovite Quartz Schist,Schist
Lamproite Lapilli Tuff,Lamproite
Crustal Xenolith,NA
Garnet Biotite Schist,Schist
MagnetiteTalc Schist,Schist
Auriferous Slate,Slate
Ferruginous Grit,Sandstone
Quartz Garnet Skarn,Skarn
Gabbroic Anorthosite Mylonite,Gabbro
Prehnite Skarn,Skarn
Garnet Muscovite Quartz Schist,Schist
Quartz-Sanidine Porphyry,Porphyry
Calcite-Knebelite-Rhodonite rock,Rock of restricted mineralogy
DanburiteFerroaxinite Skarn,Skarn
Feldspar Quartz Biotite Garnet Gneiss,Gneiss
Glassy Dacitic Ignimbrite,Dacite
Garnet Feldspar Quartz Gneiss,Gneiss
Biotite Garnet Quartz Schist,Schist
Norite Dyke,Norite
Nepheline Skarn,Skarn
Wollastonite Andradite Skarn,Skarn
Leucitite Tephrite,Tephrite
Serpentinised Chromatite,Chromatite
Mica  Quartz Calcite Schist,Schist
Stilpnomelane Clinochlore Schist,Schist
Amphibole Biotite Feldspar Quartz Gneiss,Gneiss
Amphibole Gneiss,Gneiss
Eclogitic Amphibolite,Amphibolite
Meta-Anorthosite,Anorthosite
Basaltic Pumice,Basalt
Serpentinised Harzburgite,Harzburgite
Clinochlore Muscovite Schist,Schist
Quartz Feldspar Biotite Schist,Schist
Chlorite Garnet Magnetite Schist,Schist
Vesicular Olivine-Diopside-Richterite-Leucite lamproite,Lamproite
Andradite Sphalerite Skarn,Skarn
Basalt Dyke,Basalt
Feldspar Quartz Muscovite Gneiss,Gneiss
Schorl-quartz,Rock of restricted mineralogy
Diopside Skarn,Skarn
Garnet Peridotite,Peridotite
Scapolite Garnet Amphibole Gneiss,Gneiss
Garnet Sillimanite Gneiss,Gneiss
Feldspar Muscovite Biotite Quartz Gneiss,Gneiss
Tremolite Schist,Schist
Feldspar Garnet Biotite Gneiss,Gneiss
Garnet Clinochlore Schist,Schist
Ultrabasic xenoliths,Ultrabasite
Muscovite Biotite Feldspar Quartz Schist,Schist
Staurolite Quartzite,Quartzite
Wollastonite Andradite Hedenbergite Skarn,Skarn
Indurated Slate,Slate
Wollastonite Garnet Vesuvianite Skarn,Skarn
Quartzite Metaconglomerate,Conglomerate
Garnet Muscovite Calcite Schist,Schist
Albitite Crossite Aegirine Stilpnomelane Schist,Schist
Olivine Leucite Lamproite,Lamproite
Siliceous Mudstone,Mudstone
Olivine Norite,Norite
Feldspar Quartz Amphibole Gneiss,Gneiss
Amphibolite Quartz Schist,Schist
Andesitic Agglomerate,Agglomerate
Magnetite Feldspar Quartz Gneiss,Gneiss
Muscovite Clinochlore Quartz Schist,Schist
Ferruginous Quartz Arenite,Arenite
Forsterite-Phlogophite Calciphyre,Calciphyre
Schorlite,Rock of restricted mineralogy
Bustamite-sphalerite-spessartine Rock,Rock of restricted mineralogy
Melilite Calcite Wollastonite Spurrite Skarn,Skarn
Pyrrhotite-pyrite ore,Ore
Biotite Kyanite Garnet Schist,Schist
Scawtite Skarn,Skarn
Carbonaceous Mylonite,Mylonite
Copper-zinc ore,Ore
Bustamite-Rhodonite-Quartz-Galena ore,Ore
Tourmaline Chlorite Schist,Schist
Chlorite Biotite Schist,Schist
Muscovite Amphibole Quartz Schist,Schist
Garnet Quartzite,Quartzite
Rhodonite - Galena - Sphalerite ore,Ore
Amphibolite Quartz Gneiss,Gneiss
Brucite Apatite Skarn,Skarn
Cassiterite Ore,Ore
Chlorite Muscovite Schist,Schist
Sericite Clinochlore Schist,Schist
Vesuvianite Andradite Skarn,Skarn
Saxonite,Peridotite
Chlorite Magnetite Schist,Schist
Chlorite Pyrite Quartz Schist,Schist
Sancyite,Trachyandesite
Epidote Feldspar Clinochlore Quartz Gneiss,Gneiss
Amphibole Porphyry,Porphyry
Orbicular Diorite,Diorite
WeldedTuff,Tuff
Porphyritic Andesite,Andesite
Axinite Chalcopyrite Actinolite Skarn,Skarn
Richterite-Phlogophite-Leucite Lamproite,Lamproite
Cordierite - Andalusite Hornfels,Hornfels
Ropy Lava,Igneous rock
Meta Greywacke,Greywacke
Diopside Calcite Skarn,Skarn
Nepheline Gabbro,Gabbro
Spinel Diopside Phlogopite Skarn,Skarn
Diopside Andradite Vesuvianite Skarn,Skarn
Wollastonite Diopside Skarn,Skarn
Biotite Pyroxene Hornfels,Hornfels
Pyritic ore,Ore
Tourmaline Muscovite Garnet Schist,Schist
Muscovite Biotite Feldspar Gneiss,Gneiss
Feldspar Quartz Schist,Schist
Rhyolite-Rhyodacite,Rhyodacite
Muscovite Chlorite Garnet Schist,Schist
Volcanic Mudstone,Mudstone
Garnet Muscovite Feldspar Gneiss,Gneiss
Chlorite Quartz Schist,Schist
Muscovite Clinochlore Schist,Schist
Basalt Volcanic Bomb,Basalt
Hedenbergite Galena Skarn,Skarn
Serpentine Rock,Serpentinite
Quartz Latite Welded Tuff,Latite
Epidote Feldspar Quartz Gneiss,Gneiss
Rutile Clinochlore Schist,Schist
Rhodonite-tephroite,Tephorite
Retinasphalt,Asphalt
Leucite Lamproite,Lamproite
Opalized Breccia,Breccia
Kyanite Biotite Schist,Schist
Piemontite Quartz Rock,Rock of restricted mineralogy
Forsterite Skarn,Skarn
Antimony-gold ore,Ore
Tephritic Leucitite,Leucitite
Nepheline Tephrite,Tephrite
Grossular Skarn,Skarn
Amphibole Feldspar Garnet Gneiss,Gneiss
Feldspar Serpentine Schist,Schist
Resin Ellipsoids,NA
Dolerite Dyke,Dolerite
Silver Gold Ore,Ore
Biotite Muscovite Feldspar Quartz Schist,Schist
Refined tin,NA
Talc Clinochlore Schist,Schist
Granulite Gneiss,Gneiss
Andradite Clinochlore Skarn,Skarn
Enstatite Granulite,Granulite
Schorlomite Skarn,Skarn
Feldspar Quartz Cordierite Gneiss,Gneiss
Piedmontite Muscovite Quartz Schist,Schist
Sodalite Syenite,Syenite
Clinochlore Feldspar Quartz Gneiss,Gneiss
Muscovite Chlorite Schist,Schist
Tilleyite Skarn,Skarn
Orthoclase Biotite Gneiss,Gneiss
Tephrite Scoria,Tephrite
Melilite Skarn,Skarn
Ferruginous Quartzite,Quartzite
Magnetite Clinochlore Schist,Schist
Spinel Forsterite Calciphyre,Calciphyre
Fluorite-Bustamite-Sphalerite Ore,Ore
Pyroxene Nepheline Syenite,Syenite
Metasediment,Hornfels
Spinel Geikielite Skarn,Skarn
Wollastonite Calciphyre,Calciphyre
Clinochlore Magnetite Schist,Schist
Maar sediments-tuffs,Tuff
Gahnite Mica Schist,Schist
Garnet Cordierite Feldspar Quartz Gneiss,Gneiss
Tungsten ore,Ore
Reef Quartz,Rock of restricted mineralogy
Radiolarian Earth,Radiolarite
Quartz Albite Actinolite Skarn,Skarn
Sillimanite Garnet Biotite Feldspar Gneiss,Gneiss
Garnetiferous Augen Gneiss,Gneiss
Quartz-vein,Rock of restricted mineralogy
Calcite Quartz Schist,Schist
Amphibole Biotite Feldspar Gneiss with Skarn Vein,Gneiss
Hornblende Gabbro,Gabbro
Amphibole Epidote Clinochlore Schist,Schist
Pyrrhotite-bustamite ore,Ore
Garnet Cordierite Hornfels,Hornfels
Apatite Diopside Calciphyre,Calciphyre
Diopside Calcite Phlogopite Skarn,Skarn
Pegmatoidal Richterite Diopside Lamproite,Lamproite
Garnet Biotite Clinochlore Schist,Schist
Tourmaline Muscovite Schist,Schist
Amphibole Anorthite Clinochlore Gneiss,Gneiss
Muscovite Feldspar Garnet Amphibole Schist,Schist
Limestone Skarn,Skarn
Quartz-Sphalerite-Bustamite ore,Ore
Quartz-Topaz Rock,Rock of restricted mineralogy
Granite Breccia,Breccia
Pyroxene Garnet Hornfels,Hornfels
Feldspar Biotite Hornfels,Hornfels
Weathered slate,Slate
Tourmaline Quartz Rock,Rock of restricted mineralogy
Banded Quartz Biotite Amphibole Schist,Schist
Biotite Clinozoisite Garnet Schist,Schist
Basalt with quartz xenoliths,Basalt
Quartz Albite Garnet Skarn,Skarn
Quartz-Gahnite rock,Rock of restricted mineralogy
Schorl Quartz Pegmatite,Pegmatite
Biotite Garnet Feldspar Gneiss,Gneiss
Biotite Kyanite Schist,Schist
Gold/Silver ore,Ore
Olivine Pyroxenite,Pyroxenite
Forsterite Calciphyre,Calciphyre
Hornblende Porphyrite,Porphyry
Calc-silicate Gneiss,Gneiss
Welded Mudstone,Mudstone
Aplitic Dyke,Aplite
Diopside Phlogopite Skarn,Skarn
Quartz Biotite Schist,Schist
Phlogopite Calciphyre,Calciphyre
Diopside Microcline Skarn,Skarn
Trachy-Andesite,Andesite
Chlorite Rock,Rock of restricted mineralogy
Hypersthene Gabbro,Gabbro
Muscovite Biotite Corderite Schist,Schist
Sulphide ore (calcitic),Ore
Marl Shale,Shale
Phlogophite Pargasite Marble,Marble
Scapolite marble,Marble
Sillimanite Biotite Garnet Gneiss,Gneiss
Porphyry Dyke,Porphyry
Meta-Sandstone,Sandstone
Fuschite Andalusite Schist,Schist
Talc Dolomite Schist,Schist
Monticellite Diopside Skarn,Skarn
Garnet Gneiss,Gneiss
Feldspar Quartz Muscovite Garnet Gneiss,Gneiss
Lithic Gritstone Conglomerate,Conglomerate
Glaucophane Epidote Schist,Schist
Garnet Quartz Skarn,Skarn
Kerosene Shale,Shale
Hypersthene Andesite,Andesite
Foliated Diorite,Diorite
Diopside Grossular Skarn,Skarn
Amphibole Andesite,Andesite
Garnet Pyroxene Granulite,Granulite
Charnockite Gneiss,Gneiss
Lapilli,Lapilli Tuff
Rhodonite Tephorite Skarn,Skarn
Brucite Orthoclase Skarn,Skarn
Pyroxene Garnet Tremolite Biotite Hornfels,Hornfels
Welded Lamproite Tuff,Lamproite
Copper-Lead-Zinc Ore,Ore
Garnet Wollastonite Melilite Skarn,Skarn
Phlogopite Brucite Skarn,Skarn
Wollastonite Andradite Clinochlore Skarn,Skarn
Sphalerite-Bustamite Ore,Ore
Basalt Pillow lava,Basalt
Phlogophite-Leucite Lamproite,Lamproite
Polylithionite Muscovite Feldspar Quartz Gneiss,Gneiss
Staurolite Kyanite Schist,Schist
Phlogophite-Olivine-Richterite-Diopside-Leucite Lamproite,Lamproite
Alnoite (lamprophyre),Lamprophyre
Tinguait Porphyry,Porphyry
Ottrelite Schist,Schist
Hornblende Peridotite,Peridotite
Clinochlore Feldspar Gneiss,Gneiss
Quartz Mica Schist,Schist
Quartz Feldspar Muscovite Schist,Schist
Crossite Lawsonite Clinochlore Schist,Schist
Cordierite K-feldspar Granulite,Granulite
Epidote  Schist,Schist
Hedenbergite Quartz Skarn,Skarn
Quartz-Clinochlore-Carbonate Vein,Rock of restricted mineralogy
oxidised lead ore,Ore
Biotite Amphibole K feldspar Gneiss,Gneiss
Pargasite Calciphyre,Calciphyre
Muscovite Tourmaline Schist,Schist
Corundum Monazite Schist,Schist
"Magnetite Fluorite ""Wrigglite"" Skarn",Skarn
Graphite Clinochlore Quartz Schist,Schist
Quartz with arsenopyrite,Rock of restricted mineralogy
Quartz Feldspar Muscovite Gneiss,Gneiss
Garnet Quartz Granulite,Granulite
Muscovite Clinochlore Feldspar Gneiss,Gneiss
Metasediment (manganiferous),Metasedimentary rock
Meta-Limestone,Limestone
Foshagite Skarn,Skarn
Piemontite Schist,Schist
Quartz Hornfels,Hornfels
Welded Trachyte Tuff,Trachyte
Quartz vein with stibnite,Rock of restricted mineralogy
Wollastonite Diopside Vesuvianite Skarn,Skarn
Bustamite-Apatite-Quartz-Garnet rock,Rock of restricted mineralogy
Garnet Andalusite Muscovite Schist,Schist
Sanidine Sand,Sand
Argillite rock,Rock of restricted mineralogy
Mica  Quartz Feldspar Schist,Schist
Spinel-Forsterite Calciphyre,Calciphyre
Amphibole Clinochlore Pyrite Schist,Schist
Sphalerite ore,Ore
Diaspore-'Fuchsite'-Corundum Rock,Rock of restricted mineralogy
Talc Carbonate Schist,Schist
Volcanic Conglomerate,Conglomerate
Basalt Pumice,Basalt
Monzonite Dyke,Monzonite
Ambrite (kauri gum),Ambrite
Amphibole Muscovite Garnet Schist,Schist
Garnet Sillimanite Biotite Schist,Schist
Vesuvianite Diopside Skarn,Skarn
Ottrelite-Muscovite Rock,Rock of restricted mineralogy
Quartz Vein (Folded),Rock of restricted mineralogy
Sideritic Claystone,Claystone
Quartz vein,Rock of restricted mineralogy
Quartz Reef,Rock of restricted mineralogy
Dyke Rock,Igneous rock
Mineral Sands,Sand
Coal Concretion,Coal
Cannel Coal,Coal
Quartz Latite,Latite
Tinguaite Porphyry,Porphyry
Augite Basalt,Basalt
Varved Clay,Claystone
Pyroclastic Chert,Chert
Scapolitized Diorite,Diorite
Talc Clinochlore Dolomite Schist,Schist
Chondrodite Amphibole Phlogopite Skarn,Skarn
Serpentinite Skarn,Skarn
Leucite Porphyry,Porphyry
Diorite/Hornblendite,Diorite
Pyro-bitumen,Bitumen
Serpentinised Pyroxenite,Pyroxenite
Pyroxene-Andesite,Andesite
Varved Shale,Shale
Vlasovite Amphibole Gneiss,Gneiss
Pseudo-Meteorite,NA
Leucite Basalt,Basalt
Basalic Tuff,Tuff
Phonolite Scoria,Phonolite
Melanite Phonolite,Phonolite
Welded BasaltTuff,Basalt
Limestone Conglomerate,Conglomerate
Banded Mudstone,Mudstone
Silicified Conglomerate,Conglomerate
Phosphate Rock,Phosphorite
Pegmatoidal vein,Pegmatite
Ferruginous Claystone,Claystone
Paraffin Oil,NA
Trachy-Dolerite,Dolerite
Nepheline Phonolite,Phonolite
Jasper Breccia,Breccia
Clay Ironstone,Claystone
Silicified Agglomerate,Agglomerate
Eudialyte Amphibole Mosandrite Feldspar Gneiss,Gneiss
Syenite Porphyry,Syenite
Organic substance,NA
Volcanic Agglomerate,Agglomerate
Meta-Basalt,Basalt
Sanidine Ha�yne Syenite Porphyry,Syenite
Epidote Feldspar Gneiss,Gneiss
Carbonaceous Sand,Sand
Serpentinised Basalt,Basalt
Augite Biotite Basalt,Basalt
Olivine bomb,Olivine
Slate nodule,Slate
Serpentinized Porphyry,Porphyry
Oil,NA
Nosean-Leucitophyre,Leucitophyre
Andesite Porphyry,Andesite
Nepheline Pegmatoid,Pegmatoid
Serpentinized Meta-Gabbro,Gabbro
Fluroricterite Phlogophite Skarn,Skarn
Epidotized Diorite Dyke,Diorite
Scapolite Schist,Schist
Ferruginous Breccia,Breccia
Feldspathic Dyke,Felsite
Welded Basalt Lapilli Tuff,Basalt
Serpentinized Granite,Granite
Nepheline Foidite,Foidite
Eudialyte Amphibole Agrellite Gneiss,Gneiss
Natural Wax,NA
Natural Sinter,Sinter
Welded Dacitic Tuff,Dacite
Mica-Lamprophyre,Lamprophyre
Fire Clay,Claystone
Natural Resin,NA
Natural Pitch,NA
Quartz Diorite,Diorite
Andesitic Pitchstone,Andesite
Porphyritic Basalt,Basalt
Clay-Shale,Shale
Basalt Porphyry,Basalt
Hornblende Syenite,Syenite
Native Coke,Cokeite
